id,locale,family,slug,title,description,artwork_path,content_version
"actor-base:animal_blue","en","actor-base","animal_blue","Animal Blue","","/actors/base/animal-blue.png","2026-09-16"
"actor-base:animal_green","en","actor-base","animal_green","Animal Green","","/actors/base/animal-green.png","2026-09-16"
"actor-base:animal_red","en","actor-base","animal_red","Animal Red","","/actors/base/animal-red.png","2026-09-16"
"actor-base:animal_yellow","en","actor-base","animal_yellow","Animal Yellow","","/actors/base/animal-yellow.png","2026-09-16"
"actor-base:aristocrat","en","actor-base","aristocrat","Aristocrat","","/actors/base/aristocrat.png","2026-09-16"
"actor-base:artillery_acid","en","actor-base","artillery_acid","Artillery Acid","","/actors/base/artillery-acid.png","2026-09-16"
"actor-base:artillery_earth","en","actor-base","artillery_earth","Artillery Earth","","/actors/base/artillery-earth.png","2026-09-16"
"actor-base:artillery_fire","en","actor-base","artillery_fire","Artillery Fire","","/actors/base/artillery-fire.png","2026-09-16"
"actor-base:artillery_ice","en","actor-base","artillery_ice","Artillery Ice","","/actors/base/artillery-ice.png","2026-09-16"
"actor-base:artillery_lightning","en","actor-base","artillery_lightning","Artillery Lightning","","/actors/base/artillery-lightning.png","2026-09-16"
"actor-base:assassin","en","actor-base","assassin","Assassin","","/actors/base/assassin.png","2026-09-16"
"actor-base:beast","en","actor-base","beast","Beast","","/actors/base/beast.png","2026-09-16"
"actor-base:bruiser_blue","en","actor-base","bruiser_blue","Bruiser Blue","","/actors/base/bruiser-blue.png","2026-09-16"
"actor-base:bruiser_green","en","actor-base","bruiser_green","Bruiser Green","","/actors/base/bruiser-green.png","2026-09-16"
"actor-base:bruiser_red","en","actor-base","bruiser_red","Bruiser Red","","/actors/base/bruiser-red.png","2026-09-16"
"actor-base:bruiser_yellow","en","actor-base","bruiser_yellow","Bruiser Yellow","","/actors/base/bruiser-yellow.png","2026-09-16"
"actor-base:civilian","en","actor-base","civilian","Civilian","","/actors/base/civilian.png","2026-09-16"
"actor-base:claw_blue","en","actor-base","claw_blue","Claw Blue","","/actors/base/claw-blue.png","2026-09-16"
"actor-base:claw_green","en","actor-base","claw_green","Claw Green","","/actors/base/claw-green.png","2026-09-16"
"actor-base:claw_red","en","actor-base","claw_red","Claw Red","","/actors/base/claw-red.png","2026-09-16"
"actor-base:claw_yellow","en","actor-base","claw_yellow","Claw Yellow","","/actors/base/claw-yellow.png","2026-09-16"
"actor-base:cog","en","actor-base","cog","Cog","","/actors/base/cog.png","2026-09-16"
"actor-base:commander","en","actor-base","commander","Commander","","/actors/base/commander.png","2026-09-16"
"actor-base:construct","en","actor-base","construct","Construct","","/actors/base/construct.png","2026-09-16"
"actor-base:guard_blue","en","actor-base","guard_blue","Guard Blue","","/actors/base/guard-blue.png","2026-09-16"
"actor-base:guard_green","en","actor-base","guard_green","Guard Green","","/actors/base/guard-green.png","2026-09-16"
"actor-base:guard_red","en","actor-base","guard_red","Guard Red","","/actors/base/guard-red.png","2026-09-16"
"actor-base:guard_yellow","en","actor-base","guard_yellow","Guard Yellow","","/actors/base/guard-yellow.png","2026-09-16"
"actor-base:healer","en","actor-base","healer","Healer","","/actors/base/healer.png","2026-09-16"
"actor-base:horror","en","actor-base","horror","Horror","","/actors/base/horror.png","2026-09-16"
"actor-base:manipulator","en","actor-base","manipulator","Manipulator","","/actors/base/manipulator.png","2026-09-16"
"actor-base:marksman_blue","en","actor-base","marksman_blue","Marksman Blue","","/actors/base/marksman-blue.png","2026-09-16"
"actor-base:marksman_green","en","actor-base","marksman_green","Marksman Green","","/actors/base/marksman-green.png","2026-09-16"
"actor-base:marksman_red","en","actor-base","marksman_red","Marksman Red","","/actors/base/marksman-red.png","2026-09-16"
"actor-base:marksman_yellow","en","actor-base","marksman_yellow","Marksman Yellow","","/actors/base/marksman-yellow.png","2026-09-16"
"actor-base:merchant","en","actor-base","merchant","Merchant","","/actors/base/merchant.png","2026-09-16"
"actor-base:minion_blue","en","actor-base","minion_blue","Minion Blue","","/actors/base/minion-blue.png","2026-09-16"
"actor-base:minion_green","en","actor-base","minion_green","Minion Green","","/actors/base/minion-green.png","2026-09-16"
"actor-base:minion_red","en","actor-base","minion_red","Minion Red","","/actors/base/minion-red.png","2026-09-16"
"actor-base:minion_yellow","en","actor-base","minion_yellow","Minion Yellow","","/actors/base/minion-yellow.png","2026-09-16"
"actor-base:sentry","en","actor-base","sentry","Sentry","","/actors/base/sentry.png","2026-09-16"
"actor-base:specialist","en","actor-base","specialist","Specialist","","/actors/base/specialist.png","2026-09-16"
"actor-base:swarm","en","actor-base","swarm","Swarm","","/actors/base/swarm.png","2026-09-16"
"actor-base:zealot","en","actor-base","zealot","Zealot","","/actors/base/zealot.png","2026-09-16"
