id,locale,family,slug,title,description,artwork_path,content_version
"actor-role:pawn","en","actor-role","pawn","Pawn","Toughness 1. Move 1 zone. Melee: 1 Injury. Ranged: 1 Injury, range 1.","/types/actor.png","2026-09-16"
"actor-role:minion","en","actor-role","minion","Minion","Toughness 2. Move 1 zone. Melee: 1 Injury. Ranged: 1 Injury, range 1-2.","/types/actor.png","2026-09-16"
"actor-role:thug","en","actor-role","thug","Thug","Toughness 2. Move 1 zone. Melee: 2 Injuries. Ranged: 1 Injury, range 1.","/types/actor.png","2026-09-16"
"actor-role:brute","en","actor-role","brute","Brute","Toughness 3. Move 1 zone. Melee: 2 Injuries. Melee: 1 Injury, splash.","/types/actor.png","2026-09-16"
"actor-role:tank","en","actor-role","tank","Tank","Toughness 6. Move 1 zone. Melee: 2 Injuries. Direct: Push, range 1, splash.","/types/actor.png","2026-09-16"
"actor-role:champion","en","actor-role","champion","Champion","Toughness 4. Move 1 zone. Melee: 3 Injuries. Direct: 2 Distress, splash.","/types/actor.png","2026-09-16"
"actor-role:assassin","en","actor-role","assassin","Assassin","Toughness 2. Move 1 zone. Melee: 4 Injuries. Direct: 2 Complications, splash.","/types/actor.png","2026-09-16"
"actor-role:skirmisher","en","actor-role","skirmisher","Skirmisher","Toughness 2. Move 1 zone. Melee: 2 attacks, 1 Injury each. Ranged: 2 attacks, 1 Injury each, range 1-2.","/types/actor.png","2026-09-16"
"actor-role:ranger","en","actor-role","ranger","Ranger","Toughness 3. Move 1 zone. Ranged: 2 Injuries, range 1-2. Melee: 2 Injuries.","/types/actor.png","2026-09-16"
"actor-role:stalker","en","actor-role","stalker","Stalker","Toughness 2. Move 1 zone. Melee: 3 Injuries. Ranged: 3 Injuries, range 1-2.","/types/actor.png","2026-09-16"
"actor-role:commando","en","actor-role","commando","Commando","Toughness 3. Move 1 zone. Melee: 3 Injuries. Ranged: 3 attacks, 1 Injury each, range 1-2.","/types/actor.png","2026-09-16"
"actor-role:marksman","en","actor-role","marksman","Marksman","Toughness 2. Move 1 zone. Ranged: 3 Injuries, range 1-3. Melee: 1 Injury.","/types/actor.png","2026-09-16"
"actor-role:sniper","en","actor-role","sniper","Sniper","Toughness 2. Move 1 zone. Ranged: 4 Injuries, range 1 or more. Melee: 1 Injury.","/types/actor.png","2026-09-16"
"actor-role:grenadier","en","actor-role","grenadier","Grenadier","Toughness 2. Move 1 zone. Ranged: 2 Injuries, range 1, splash. Melee: 1 Injury.","/types/actor.png","2026-09-16"
"actor-role:bomber","en","actor-role","bomber","Bomber","Toughness 3. Move 1 zone. Ranged: 3 Injuries, range 0, splash.","/types/actor.png","2026-09-16"
"actor-role:artillery","en","actor-role","artillery","Artillery","Toughness 2. Move 1 zone. Ranged: 2 Injuries, range 1 or more, splash.","/types/actor.png","2026-09-16"
