id,locale,family,slug,title,description,artwork_path,content_version
"actor-special:tough","en","actor-special","tough","Tough","+2 Toughness.","/actors/base/tough.png","2026-09-16"
"actor-special:shielded","en","actor-special","shielded","Shielded","-1 Injury taken.","/actors/base/shielded.png","2026-09-16"
"actor-special:armoured","en","actor-special","armoured","Armoured","-2 Injuries taken.","/actors/base/armoured.png","2026-09-16"
"actor-special:alpha","en","actor-special","alpha","Alpha","+1 Toughness and +1 Injury for all attacks.","/actors/base/alpha.png","2026-09-16"
"actor-special:dangerous","en","actor-special","dangerous","Dangerous","Primary attack also deals +1 Injury.","/actors/base/dangerous.png","2026-09-16"
"actor-special:burning","en","actor-special","burning","Burning","Primary attack also deals +1 Burning.","/actors/base/burning.png","2026-09-16"
"actor-special:fiery","en","actor-special","fiery","Fiery","Secondary attack deals Burning instead.","/actors/base/fiery.png","2026-09-16"
"actor-special:freezing","en","actor-special","freezing","Freezing","Primary attack also deals +1 Freezing.","/actors/base/freezing.png","2026-09-16"
"actor-special:icy","en","actor-special","icy","Icy","Secondary attack deals Freezing instead.","/actors/base/icy.png","2026-09-16"
"actor-special:irritating","en","actor-special","irritating","Irritating","Primary attack also deals +1 Distress.","/actors/base/irritating.png","2026-09-16"
"actor-special:corrupting","en","actor-special","corrupting","Corrupting","Secondary attack deals Distress instead.","/actors/base/corrupting.png","2026-09-16"
"actor-special:fast","en","actor-special","fast","Fast","Moves an extra zone per turn.","/actors/base/fast.png","2026-09-16"
"actor-special:harassing","en","actor-special","harassing","Harassing","Secondary attack also deals +1 Complication.","/actors/base/harassing.png","2026-09-16"
"actor-special:slowing","en","actor-special","slowing","Slowing","Secondary attack also deals +1 Hindered.","/actors/base/slowing.png","2026-09-16"
"actor-special:elemental","en","actor-special","elemental","Elemental","All attacks can deal Freezing or Burning.","/actors/base/elemental.png","2026-09-16"
"actor-special:charging","en","actor-special","charging","Charging","Primary attack also deals +2 Injuries when entering a zone.","/actors/base/charging.png","2026-09-16"
"actor-special:suicide","en","actor-special","suicide","Suicide","Can die and deal 2 Injuries, splash.","/actors/base/suicide.png","2026-09-16"
"actor-special:grabbing","en","actor-special","grabbing","Grabbing","Melee attacks also deal +1 Stuck.","/actors/base/grabbing.png","2026-09-16"
"actor-special:webbing","en","actor-special","webbing","Webbing","Primary attack also deals +1 Stuck, splash.","/actors/base/webbing.png","2026-09-16"
"actor-special:reaching","en","actor-special","reaching","Reaching","Melee attacks reach adjacent zones.","/actors/base/reaching.png","2026-09-16"
"actor-special:healing","en","actor-special","healing","Healing","Heal 2 Injuries from one ally in the zone.","/actors/base/healing.png","2026-09-16"
"actor-special:restoring","en","actor-special","restoring","Restoring","Heal 1 Injury from all allies in the zone.","/actors/base/restoring.png","2026-09-16"
"actor-special:regenerating","en","actor-special","regenerating","Regenerating","Heal 2 Injuries at the end of the turn.","/actors/base/regenerating.png","2026-09-16"
"actor-special:encouraging","en","actor-special","encouraging","Encouraging","Boost all allies in the zone.","/actors/base/encouraging.png","2026-09-16"
