id,locale,family,slug,title,description,artwork_path,content_version
"asset-base:medieval_gambeson","en","asset-base","medieval_gambeson","Gambeson","Light fabric armor. Negates 1 Injury from slashing damage.","/assets/medieval/gambeson.png","2026-09-16"
"asset-base:medieval_chainmail","en","asset-base","medieval_chainmail","Chainmail","Medium metal armor. Negates 1 Injury from slashing and piercing damage. -1 Effect when sneaking, running, climbing or swimming.","/assets/medieval/chainmail.png","2026-09-16"
"asset-base:medieval_plate_armor","en","asset-base","medieval_plate_armor","Plate Armor","Heavy metal armor. Negates 2 slashing/piercing Injuries and 1 bludgeoning Injury. -2 Effect when sneaking, running, climbing or swimming.","/assets/medieval/plate-armor.png","2026-09-16"
"asset-base:medieval_buckler","en","asset-base","medieval_buckler","Buckler","Light metal shield. +1 Effect when defending from melee attack once per round.","/assets/medieval/buckler.png","2026-09-16"
"asset-base:medieval_kite-shield","en","asset-base","medieval_kite-shield","Kite Shield","Large wooden shield. +1 Effect when defending from melee or ranged attack. -1 Effect when sneaking, running, climbing or swimming.","/assets/medieval/kite-shield.png","2026-09-16"
"asset-base:medieval_dagger","en","asset-base","medieval_dagger","Dagger","A light one-handed piercing melee weapon. Can be thrown 1 zone away.","/assets/medieval/dagger.png","2026-09-16"
"asset-base:medieval_hand_axe","en","asset-base","medieval_hand_axe","Hand Axe","A light one-handed slashing melee weapon. Can be thrown 1 zone away.","/assets/medieval/hand-axe.png","2026-09-16"
"asset-base:medieval_longsword","en","asset-base","medieval_longsword","Longsword","A medium one- or two-handed piercing or slashing melee weapon. +1 Effect when attacking while wielded with both hands.","/assets/medieval/longsword.png","2026-09-16"
"asset-base:medieval_zweihandler","en","asset-base","medieval_zweihandler","Zweihänder","A heavy two-handed slashing melee weapon. +1 Effect when attacking.","/assets/medieval/zweihandler.png","2026-09-16"
"asset-base:medieval_great_axe","en","asset-base","medieval_great_axe","Greataxe","A heavy two-handed slashing melee weapon. +2 Effect when attacking multiple enemies.","/assets/medieval/great-axe.png","2026-09-16"
"asset-base:medieval_war_hammer","en","asset-base","medieval_war_hammer","War Hammer","A heavy two-handed piercing or bludgeoning melee weapon. +1 Effect against armor.","/assets/medieval/war-hammer.png","2026-09-16"
"asset-base:medieval_mace","en","asset-base","medieval_mace","Mace","A medium one-handed bludgeoning melee weapon. 1 Injury negated by armor turns to Distress instead.","/assets/medieval/mace.png","2026-09-16"
"asset-base:medieval_morningstar","en","asset-base","medieval_morningstar","Morningstar","A medium one-handed bludgeoning melee weapon. Ignores shields.","/assets/medieval/morningstar.png","2026-09-16"
"asset-base:medieval_staff","en","asset-base","medieval_staff","Staff","A light two-handed bludgeoning melee polearm weapon. +1 Effect when tripping an enemy.","/assets/medieval/staff.png","2026-09-16"
"asset-base:medieval_spear","en","asset-base","medieval_spear","Spear","A medium two-handed piercing melee polearm weapon. Once per round outside your turn you can attack an enemy entering your zone.","/assets/medieval/spear.png","2026-09-16"
"asset-base:medieval_billhook","en","asset-base","medieval_billhook","Billhook","A heavy two-handed piercing or slashing polearm weapon. +1 Effect against cavalry.","/assets/medieval/billhook.png","2026-09-16"
