id,locale,family,slug,title,description,artwork_path,content_version
"asset-modifier:base_fast","en","asset-modifier","base_fast","Fast","May be used twice in a round at -1 Effect each.","/assets/base/fast.png","2026-09-18"
"asset-modifier:base_empowered","en","asset-modifier","base_empowered","Empowered","+1 Effect on Success or better.","/assets/base/empowered.png","2026-09-18"
"asset-modifier:base_wide","en","asset-modifier","base_wide","Wide","Affects an additional target in the same zone.","/assets/base/wide.png","2026-09-18"
"asset-modifier:base_burning","en","asset-modifier","base_burning","Burning","Inflicts 1 Burning per attack or defend action.","/assets/base/burning.png","2026-09-18"
"asset-modifier:base_freezing","en","asset-modifier","base_freezing","Freezing","Inflicts 1 Freezing per attack or defend action.","/assets/base/freezing.png","2026-09-18"
"asset-modifier:base_insulating","en","asset-modifier","base_insulating","Insulating","Protects from 1 Freezing or 1 Burning per defend action.","/assets/base/insulating.png","2026-09-18"
"asset-modifier:base_irritating","en","asset-modifier","base_irritating","Irritating","Inflicts 1 Distress per attack or defend action.","/assets/base/irritating.png","2026-09-18"
"asset-modifier:base_penetrating","en","asset-modifier","base_penetrating","Penetrating","Ignores 1 Injury reduction / atk. or inflicts 1 Injury / def. action.","/assets/base/penetrating.png","2026-09-18"
"asset-modifier:base_fragile","en","asset-modifier","base_fragile","Fragile","Makes an item consumable. Discard after first use.","/assets/base/fragile.png","2026-09-18"
"asset-modifier:base_permanent","en","asset-modifier","base_permanent","Permanent","Makes a consumable permanent.","/assets/base/permanent.png","2026-09-18"
"asset-modifier:base_hidden","en","asset-modifier","base_hidden","Hidden","Not revealed until first use.","/assets/base/hidden.png","2026-09-18"
"asset-modifier:base_annoying","en","asset-modifier","base_annoying","Annoying","On action, suffer 1 Distress.","/assets/base/annoying.png","2026-09-18"
"asset-modifier:base_dangerous","en","asset-modifier","base_dangerous","Dangerous","On action, +1 Effect and suffer 1 Injury.","/assets/base/dangerous.png","2026-09-18"
"asset-modifier:base_pushing","en","asset-modifier","base_pushing","Pushing","On action, move target to an adjacent zone.","/assets/base/pushing.png","2026-09-18"
"asset-modifier:base_pulling","en","asset-modifier","base_pulling","Pulling","On action, move target to your zone.","/assets/base/pulling.png","2026-09-18"
"asset-modifier:base_area","en","asset-modifier","base_area","Area","Affects all targets in the zone.","/assets/base/area.png","2026-09-18"
