id,locale,family,slug,title,description,artwork_path,content_version
"actor-base:animal_blue","en","actor-base","animal_blue","Animal Blue","","/actors/base/animal-blue.png","2026-09-18"
"actor-base:animal_green","en","actor-base","animal_green","Animal Green","","/actors/base/animal-green.png","2026-09-18"
"actor-base:animal_red","en","actor-base","animal_red","Animal Red","","/actors/base/animal-red.png","2026-09-18"
"actor-base:animal_yellow","en","actor-base","animal_yellow","Animal Yellow","","/actors/base/animal-yellow.png","2026-09-18"
"actor-base:aristocrat","en","actor-base","aristocrat","Aristocrat","","/actors/base/aristocrat.png","2026-09-18"
"actor-base:artillery_acid","en","actor-base","artillery_acid","Artillery Acid","","/actors/base/artillery-acid.png","2026-09-18"
"actor-base:artillery_earth","en","actor-base","artillery_earth","Artillery Earth","","/actors/base/artillery-earth.png","2026-09-18"
"actor-base:artillery_fire","en","actor-base","artillery_fire","Artillery Fire","","/actors/base/artillery-fire.png","2026-09-18"
"actor-base:artillery_ice","en","actor-base","artillery_ice","Artillery Ice","","/actors/base/artillery-ice.png","2026-09-18"
"actor-base:artillery_lightning","en","actor-base","artillery_lightning","Artillery Lightning","","/actors/base/artillery-lightning.png","2026-09-18"
"actor-base:assassin","en","actor-base","assassin","Assassin","","/actors/base/assassin.png","2026-09-18"
"actor-base:beast","en","actor-base","beast","Beast","","/actors/base/beast.png","2026-09-18"
"actor-base:bruiser_blue","en","actor-base","bruiser_blue","Bruiser Blue","","/actors/base/bruiser-blue.png","2026-09-18"
"actor-base:bruiser_green","en","actor-base","bruiser_green","Bruiser Green","","/actors/base/bruiser-green.png","2026-09-18"
"actor-base:bruiser_red","en","actor-base","bruiser_red","Bruiser Red","","/actors/base/bruiser-red.png","2026-09-18"
"actor-base:bruiser_yellow","en","actor-base","bruiser_yellow","Bruiser Yellow","","/actors/base/bruiser-yellow.png","2026-09-18"
"actor-base:civilian","en","actor-base","civilian","Civilian","","/actors/base/civilian.png","2026-09-18"
"actor-base:claw_blue","en","actor-base","claw_blue","Claw Blue","","/actors/base/claw-blue.png","2026-09-18"
"actor-base:claw_green","en","actor-base","claw_green","Claw Green","","/actors/base/claw-green.png","2026-09-18"
"actor-base:claw_red","en","actor-base","claw_red","Claw Red","","/actors/base/claw-red.png","2026-09-18"
"actor-base:claw_yellow","en","actor-base","claw_yellow","Claw Yellow","","/actors/base/claw-yellow.png","2026-09-18"
"actor-base:cog","en","actor-base","cog","Cog","","/actors/base/cog.png","2026-09-18"
"actor-base:commander","en","actor-base","commander","Commander","","/actors/base/commander.png","2026-09-18"
"actor-base:construct","en","actor-base","construct","Construct","","/actors/base/construct.png","2026-09-18"
"actor-base:guard_blue","en","actor-base","guard_blue","Guard Blue","","/actors/base/guard-blue.png","2026-09-18"
"actor-base:guard_green","en","actor-base","guard_green","Guard Green","","/actors/base/guard-green.png","2026-09-18"
"actor-base:guard_red","en","actor-base","guard_red","Guard Red","","/actors/base/guard-red.png","2026-09-18"
"actor-base:guard_yellow","en","actor-base","guard_yellow","Guard Yellow","","/actors/base/guard-yellow.png","2026-09-18"
"actor-base:healer","en","actor-base","healer","Healer","","/actors/base/healer.png","2026-09-18"
"actor-base:horror","en","actor-base","horror","Horror","","/actors/base/horror.png","2026-09-18"
"actor-base:manipulator","en","actor-base","manipulator","Manipulator","","/actors/base/manipulator.png","2026-09-18"
"actor-base:marksman_blue","en","actor-base","marksman_blue","Marksman Blue","","/actors/base/marksman-blue.png","2026-09-18"
"actor-base:marksman_green","en","actor-base","marksman_green","Marksman Green","","/actors/base/marksman-green.png","2026-09-18"
"actor-base:marksman_red","en","actor-base","marksman_red","Marksman Red","","/actors/base/marksman-red.png","2026-09-18"
"actor-base:marksman_yellow","en","actor-base","marksman_yellow","Marksman Yellow","","/actors/base/marksman-yellow.png","2026-09-18"
"actor-base:merchant","en","actor-base","merchant","Merchant","","/actors/base/merchant.png","2026-09-18"
"actor-base:minion_blue","en","actor-base","minion_blue","Minion Blue","","/actors/base/minion-blue.png","2026-09-18"
"actor-base:minion_green","en","actor-base","minion_green","Minion Green","","/actors/base/minion-green.png","2026-09-18"
"actor-base:minion_red","en","actor-base","minion_red","Minion Red","","/actors/base/minion-red.png","2026-09-18"
"actor-base:minion_yellow","en","actor-base","minion_yellow","Minion Yellow","","/actors/base/minion-yellow.png","2026-09-18"
"actor-base:sentry","en","actor-base","sentry","Sentry","","/actors/base/sentry.png","2026-09-18"
"actor-base:specialist","en","actor-base","specialist","Specialist","","/actors/base/specialist.png","2026-09-18"
"actor-base:swarm","en","actor-base","swarm","Swarm","","/actors/base/swarm.png","2026-09-18"
"actor-base:zealot","en","actor-base","zealot","Zealot","","/actors/base/zealot.png","2026-09-18"
"actor-base:medieval_villager","en","actor-base","medieval_villager","Villager","","/actors/medieval/villager.png","2026-09-18"
"actor-base:medieval_alchemist","en","actor-base","medieval_alchemist","Alchemist","","/actors/medieval/alchemist.png","2026-09-18"
"actor-base:medieval_aristocrat","en","actor-base","medieval_aristocrat","Aristocrat","","/actors/medieval/aristocrat.png","2026-09-18"
"actor-base:medieval_bandit","en","actor-base","medieval_bandit","Bandit","","/actors/medieval/bandit.png","2026-09-18"
"actor-base:medieval_beggar","en","actor-base","medieval_beggar","Beggar","","/actors/medieval/beggar.png","2026-09-18"
"actor-base:medieval_child","en","actor-base","medieval_child","Child","","/actors/medieval/child.png","2026-09-18"
"actor-base:medieval_craftsman","en","actor-base","medieval_craftsman","Craftsman","","/actors/medieval/craftsman.png","2026-09-18"
"actor-base:medieval_elder","en","actor-base","medieval_elder","Elder","","/actors/medieval/elder.png","2026-09-18"
"actor-base:medieval_farmer","en","actor-base","medieval_farmer","Farmer","","/actors/medieval/farmer.png","2026-09-18"
"actor-base:medieval_hunter","en","actor-base","medieval_hunter","Hunter","","/actors/medieval/hunter.png","2026-09-18"
"actor-base:medieval_idiot","en","actor-base","medieval_idiot","Idiot","","/actors/medieval/idiot.png","2026-09-18"
"actor-base:medieval_knight","en","actor-base","medieval_knight","Knight","","/actors/medieval/knight.png","2026-09-18"
"actor-base:medieval_marksman","en","actor-base","medieval_marksman","Marksman","","/actors/medieval/marksman.png","2026-09-18"
"actor-base:medieval_merchant","en","actor-base","medieval_merchant","Merchant","","/actors/medieval/merchant.png","2026-09-18"
"actor-base:medieval_militia","en","actor-base","medieval_militia","Militia","","/actors/medieval/militia.png","2026-09-18"
"actor-base:medieval_pikeman","en","actor-base","medieval_pikeman","Pikeman","","/actors/medieval/pikeman.png","2026-09-18"
"actor-base:medieval_priest","en","actor-base","medieval_priest","Priest","","/actors/medieval/priest.png","2026-09-18"
"actor-base:medieval_rogue","en","actor-base","medieval_rogue","Rogue","","/actors/medieval/rogue.png","2026-09-18"
"actor-base:medieval_scholar","en","actor-base","medieval_scholar","Scholar","","/actors/medieval/scholar.png","2026-09-18"
"actor-base:medieval_shopkeeper","en","actor-base","medieval_shopkeeper","Shopkeeper","","/actors/medieval/shopkeeper.png","2026-09-18"
"actor-base:medieval_female_villager","en","actor-base","medieval_female_villager","Villager","","/actors/medieval/female/villager.png","2026-09-18"
"actor-base:medieval_female_alchemist","en","actor-base","medieval_female_alchemist","Alchemist","","/actors/medieval/female/alchemist.png","2026-09-18"
"actor-base:medieval_female_aristocrat","en","actor-base","medieval_female_aristocrat","Aristocrat","","/actors/medieval/female/aristocrat.png","2026-09-18"
"actor-base:medieval_female_bandit","en","actor-base","medieval_female_bandit","Bandit","","/actors/medieval/female/bandit.png","2026-09-18"
"actor-base:medieval_female_beggar","en","actor-base","medieval_female_beggar","Beggar","","/actors/medieval/female/beggar.png","2026-09-18"
"actor-base:medieval_female_child","en","actor-base","medieval_female_child","Child","","/actors/medieval/female/child.png","2026-09-18"
"actor-base:medieval_female_craftsman","en","actor-base","medieval_female_craftsman","Craftsman","","/actors/medieval/female/craftsman.png","2026-09-18"
"actor-base:medieval_female_elder","en","actor-base","medieval_female_elder","Elder","","/actors/medieval/female/elder.png","2026-09-18"
"actor-base:medieval_female_farmer","en","actor-base","medieval_female_farmer","Farmer","","/actors/medieval/female/farmer.png","2026-09-18"
"actor-base:medieval_female_hunter","en","actor-base","medieval_female_hunter","Hunter","","/actors/medieval/female/hunter.png","2026-09-18"
"actor-base:medieval_female_crazy-cat-lady","en","actor-base","medieval_female_crazy-cat-lady","Crazy Cat Lady","","/actors/medieval/female/crazy-cat-lady.png","2026-09-18"
"actor-base:medieval_female_knight","en","actor-base","medieval_female_knight","Knight","","/actors/medieval/female/knight.png","2026-09-18"
"actor-base:medieval_female_marksman","en","actor-base","medieval_female_marksman","Marksman","","/actors/medieval/female/marksman.png","2026-09-18"
"actor-base:medieval_female_merchant","en","actor-base","medieval_female_merchant","Merchant","","/actors/medieval/female/merchant.png","2026-09-18"
"actor-base:medieval_female_militia","en","actor-base","medieval_female_militia","Militia","","/actors/medieval/female/militia.png","2026-09-18"
"actor-base:medieval_female_pikeman","en","actor-base","medieval_female_pikeman","Pikeman","","/actors/medieval/female/pikeman.png","2026-09-18"
"actor-base:medieval_female_nun","en","actor-base","medieval_female_nun","Nun","","/actors/medieval/female/nun.png","2026-09-18"
"actor-base:medieval_female_rogue","en","actor-base","medieval_female_rogue","Rogue","","/actors/medieval/female/rogue.png","2026-09-18"
"actor-base:medieval_female_scribe","en","actor-base","medieval_female_scribe","Scribe","","/actors/medieval/female/scribe.png","2026-09-18"
"actor-base:medieval_female_shopkeeper","en","actor-base","medieval_female_shopkeeper","Shopkeeper","","/actors/medieval/female/shopkeeper.png","2026-09-18"
