id,locale,family,slug,title,description,artwork_path,content_version
"counter:agreement","en","counter","agreement","Agreement","","/counters/agreement.png","2026-09-18"
"counter:construction","en","counter","construction","Construction","","/counters/construction.png","2026-09-18"
"counter:crafting","en","counter","crafting","Crafting","","/counters/crafting.png","2026-09-18"
"counter:danger","en","counter","danger","Danger","","/counters/danger.png","2026-09-18"
"counter:defense","en","counter","defense","Defense","","/counters/defense.png","2026-09-18"
"counter:destruction","en","counter","destruction","Destruction","","/counters/destruction.png","2026-09-18"
"counter:distance","en","counter","distance","Distance","","/counters/distance.png","2026-09-18"
"counter:drop","en","counter","drop","Drop","","/counters/drop.png","2026-09-18"
"counter:energy","en","counter","energy","Energy","","/counters/energy.png","2026-09-18"
"counter:escape","en","counter","escape","Escape","","/counters/escape.png","2026-09-18"
"counter:euphoria","en","counter","euphoria","Euphoria","","/counters/euphoria.png","2026-09-18"
"counter:incognito","en","counter","incognito","Incognito","","/counters/incognito.png","2026-09-18"
"counter:investigation","en","counter","investigation","Investigation","","/counters/investigation.png","2026-09-18"
"counter:morale","en","counter","morale","Morale","","/counters/morale.png","2026-09-18"
"counter:performance","en","counter","performance","Performance","","/counters/performance.png","2026-09-18"
"counter:persuasion","en","counter","persuasion","Persuasion","","/counters/persuasion.png","2026-09-18"
"counter:race","en","counter","race","Race","","/counters/race.png","2026-09-18"
"counter:reputation","en","counter","reputation","Reputation","","/counters/reputation.png","2026-09-18"
"counter:resources","en","counter","resources","Resources","","/counters/resources.png","2026-09-18"
"counter:stealth","en","counter","stealth","Stealth","","/counters/stealth.png","2026-09-18"
"counter:study","en","counter","study","Study","","/counters/study.png","2026-09-18"
"counter:time","en","counter","time","Time","","/counters/time.png","2026-09-18"
"counter:tracking","en","counter","tracking","Tracking","","/counters/tracking.png","2026-09-18"
"counter:wealth","en","counter","wealth","Wealth","","/counters/wealth.png","2026-09-18"
