id,locale,family,slug,title,description,artwork_path,content_version
"location:medieval_dungeon","en","location","medieval_dungeon","Dungeon","","/locations/medieval/dungeon.jpg","2026-09-18"
"location:medieval_forrest","en","location","medieval_forrest","Forrest","","/locations/medieval/forrest.jpg","2026-09-18"
"location:medieval_garden","en","location","medieval_garden","Garden","","/locations/medieval/garden.jpg","2026-09-18"
"location:medieval_graveyard","en","location","medieval_graveyard","Graveyard","","/locations/medieval/graveyard.jpg","2026-09-18"
"location:medieval_harbor","en","location","medieval_harbor","Harbor","","/locations/medieval/harbor.jpg","2026-09-18"
"location:medieval_lake","en","location","medieval_lake","Lake","","/locations/medieval/lake.jpg","2026-09-18"
"location:medieval_market","en","location","medieval_market","Market","","/locations/medieval/market.jpg","2026-09-18"
"location:medieval_mine_shaft","en","location","medieval_mine_shaft","Mine Shaft","","/locations/medieval/mine_shaft.jpg","2026-09-18"
"location:medieval_pantry","en","location","medieval_pantry","Pantry","","/locations/medieval/pantry.jpg","2026-09-18"
"location:medieval_pasture","en","location","medieval_pasture","Pasture","","/locations/medieval/pasture.jpg","2026-09-18"
"location:medieval_quarry","en","location","medieval_quarry","Quarry","","/locations/medieval/quarry.jpg","2026-09-18"
"location:medieval_road","en","location","medieval_road","Road","","/locations/medieval/road.jpg","2026-09-18"
"location:medieval_servants_quarters","en","location","medieval_servants_quarters","Servants Room","","/locations/medieval/servants_quarters.jpg","2026-09-18"
"location:medieval_sewer","en","location","medieval_sewer","Sewer","","/locations/medieval/sewer.jpg","2026-09-18"
"location:medieval_swamp","en","location","medieval_swamp","Swamp","","/locations/medieval/swamp.jpg","2026-09-18"
"location:medieval_tavern","en","location","medieval_tavern","Tavern","","/locations/medieval/tavern.jpg","2026-09-18"
"location:medieval_town_square","en","location","medieval_town_square","Town Square","","/locations/medieval/town_square.jpg","2026-09-18"
"location:medieval_townhouse_bath_room","en","location","medieval_townhouse_bath_room","Townhouse Bath Room","","/locations/medieval/townhouse_bath_room.jpg","2026-09-18"
"location:medieval_townhouse_bedchamber","en","location","medieval_townhouse_bedchamber","Townhouse Bedchamber","","/locations/medieval/townhouse_bedchamber.jpg","2026-09-18"
"location:medieval_townhouse_corridor","en","location","medieval_townhouse_corridor","Townhouse Corridor","","/locations/medieval/townhouse_corridor.jpg","2026-09-18"
"location:medieval_townhouse_dining_room","en","location","medieval_townhouse_dining_room","Townhouse Dining Room","","/locations/medieval/townhouse_dining_room.jpg","2026-09-18"
"location:medieval_townhouse_nursery","en","location","medieval_townhouse_nursery","Townhouse Nursery","","/locations/medieval/townhouse_nursery.jpg","2026-09-18"
"location:medieval_townhouse_study","en","location","medieval_townhouse_study","Townhouse Study","","/locations/medieval/townhouse_study.jpg","2026-09-18"
"location:medieval_village","en","location","medieval_village","Village","","/locations/medieval/village.jpg","2026-09-18"
"location:medieval_vine_cellar","en","location","medieval_vine_cellar","Vine Cellar","","/locations/medieval/vine_cellar.jpg","2026-09-18"
"location:medieval_warehouse","en","location","medieval_warehouse","Warehouse","","/locations/medieval/warehouse.jpg","2026-09-18"
"location:medieval_weapons_shop","en","location","medieval_weapons_shop","Weapons Shop","","/locations/medieval/weapons_shop.jpg","2026-09-18"
"location:medieval_workshop","en","location","medieval_workshop","Workshop","","/locations/medieval/workshop.jpg","2026-09-18"
"location:medieval_armory","en","location","medieval_armory","Armory","","/locations/medieval/armory.jpg","2026-09-18"
"location:medieval_bakery","en","location","medieval_bakery","Bakery","","/locations/medieval/bakery.jpg","2026-09-18"
"location:medieval_barracks","en","location","medieval_barracks","Barracks","","/locations/medieval/barracks.jpg","2026-09-18"
"location:medieval_bathhouse","en","location","medieval_bathhouse","Bathhouse","","/locations/medieval/bathhouse.jpg","2026-09-18"
"location:medieval_butchery","en","location","medieval_butchery","Butchery","","/locations/medieval/butchery.jpg","2026-09-18"
"location:medieval_camp","en","location","medieval_camp","Camp","","/locations/medieval/camp.jpg","2026-09-18"
"location:medieval_castle_bastion","en","location","medieval_castle_bastion","Castle Bastion","","/locations/medieval/castle_bastion.jpg","2026-09-18"
"location:medieval_castle_bailey","en","location","medieval_castle_bailey","Castle Bailey","","/locations/medieval/castle_bailey.jpg","2026-09-18"
"location:medieval_castle_corridor","en","location","medieval_castle_corridor","Castle Corridor","","/locations/medieval/castle_corridor.jpg","2026-09-18"
"location:medieval_castle_dining_room","en","location","medieval_castle_dining_room","Castle Dining Room","","/locations/medieval/castle_dining_room.jpg","2026-09-18"
"location:medieval_castle_gate","en","location","medieval_castle_gate","Castle Gate","","/locations/medieval/castle_gate.jpg","2026-09-18"
"location:medieval_cave","en","location","medieval_cave","Cave","","/locations/medieval/cave.jpg","2026-09-18"
"location:medieval_church","en","location","medieval_church","Church","","/locations/medieval/church.jpg","2026-09-18"
"location:medieval_clearing","en","location","medieval_clearing","Clearing","","/locations/medieval/clearing.jpg","2026-09-18"
"location:medieval_mountain_trail","en","location","medieval_mountain_trail","Mountain Trail","","/locations/medieval/mountain_trail.jpg","2026-09-18"
"location:medieval_prison_cell","en","location","medieval_prison_cell","Prison Cell","","/locations/medieval/prison_cell.jpg","2026-09-18"
"location:medieval_dark_alley","en","location","medieval_dark_alley","Dark Alley","","/locations/medieval/dark_alley.jpg","2026-09-18"
"location:medieval_library","en","location","medieval_library","Library","","/locations/medieval/library.jpg","2026-09-18"
"location:medieval_apothecary","en","location","medieval_apothecary","Apothecary","","/locations/medieval/apothecary.jpg","2026-09-18"
"location:medieval_winery","en","location","medieval_winery","Winery","","/locations/medieval/winery.jpg","2026-09-18"
