id,locale,family,slug,title,description,artwork_path,content_version
"stunt:dontGiveUp","en","stunt","dontGiveUp","Don't Give Up","You need +1 Distress to get Panicked or Hopeless.
Recover from Panicked.","/stunts/base/dont-give-up.png","2026-09-18"
"stunt:bringThePain","en","stunt","bringThePain","Bring the Pain","You need +1 Injury to be Taken Out.
Recover from being Taken Out.","/stunts/base/bring-the-pain.png","2026-09-18"
"stunt:fearless","en","stunt","fearless","Fearless","You are always Panicked, but you get Hindered instead of Hopeless.
Defend from a Distress while Panicked.","/stunts/base/fearless.png","2026-09-18"
"stunt:pummel","en","stunt","pummel","Pummel","Playing a Partial Success to attack an opponent while unarmed inflicts +1 Injury.
Knock out an opponent unarmed.","/stunts/base/pummel.png","2026-09-18"
"stunt:flex","en","stunt","flex","Flex","+1 Effect when using your body to impress or intimidate.
Impress or intimidate someone with your body.","/stunts/base/flex.png","2026-09-18"
"stunt:oversizedWeaponry","en","stunt","oversizedWeaponry","Oversized Weaponry","You can use oversized weapons. You can wield two-handed weapons in one hand.
Hit something with a weapon too large to wield easily.","/stunts/base/oversized-weaponry.png","2026-09-18"
"stunt:offensiveThrow","en","stunt","offensiveThrow","Offensive Throw","You can throw characters of your size or smaller up to 1 zone away.
Throw something most people cannot throw.","/stunts/base/offensive-throw.png","2026-09-18"
"stunt:powerAttack","en","stunt","powerAttack","Power Attack","Your melee attacks leave enemies open—they receive a Complication.
Strike an enemy so hard they stagger or fall.","/stunts/base/power-attack.png","2026-09-18"
"stunt:warCry","en","stunt","warCry","War Cry","Play Success to intimidate all enemies in your zone, giving them 1 Distress.
Intimidate multiple opponents at once.","/stunts/base/war-cry.png","2026-09-18"
"stunt:grapple","en","stunt","grapple","Grapple","When you successfully block a melee attack, you automatically grapple the attacker.
Restrain an enemy in close combat.","/stunts/base/grapple.png","2026-09-18"
"stunt:chokeOut","en","stunt","chokeOut","Choke Out","If you grapple an enemy for 2 consecutive turns, they lose consciousness.
Hold an opponent down until they submit or pass out.","/stunts/base/choke-out.png","2026-09-18"
"stunt:smash","en","stunt","smash","Smash","You can split you melee attack Effect between enemies in the same zone.
Knock down 3 or more opponents with a single melee attack.","/stunts/base/smash.png","2026-09-18"
"stunt:seductive","en","stunt","seductive","Seductive","Receive 2x Boosts at the start of a social Encounter with a character that may find you attractive.
Seduce someone.","/stunts/base/seductive.png","2026-09-18"
"stunt:elusive","en","stunt","elusive","Elusive","Once per round, you can move to an adjacent zone when you defend from taking any Injury.
Retreat from a zone where you received an Injury.","/stunts/base/elusive.png","2026-09-18"
"stunt:ghostStep","en","stunt","ghostStep","Ghost Step","+1 Effect while moving silently.
Sneak past an enemy without being detected.","/stunts/base/ghost-step.png","2026-09-18"
"stunt:masterOfDisguise","en","stunt","masterOfDisguise","Master of Disguise","+1 Effect when you assume a false identity.
Deceive someone by assuming a false identity.","/stunts/base/master-of-disguise.png","2026-09-18"
"stunt:venomous","en","stunt","venomous","Venomous","You can apply poison to a weapon and attack with it in 1 action. You don't poison yourself by mistake.
Poison someone.","/stunts/base/venomous.png","2026-09-18"
"stunt:forger","en","stunt","forger","Forger","+1 Effect when manipulating with forged documents. The documents always hold up under casual inspection.
Deceive someone with a forged evidence.","/stunts/base/forger.png","2026-09-18"
"stunt:stalker","en","stunt","stalker","Stalker","Your attacks deal +1 Injury or Distress to unaware enemies.
Knock-out or assassinate an unaware target in 1 action.","/stunts/base/stalker.png","2026-09-18"
"stunt:safecracker","en","stunt","safecracker","Safecracker","+1 Effect when braking into or out of locked places or containers.
Break a lock.","/stunts/base/safecracker.png","2026-09-18"
"stunt:pickpocket","en","stunt","pickpocket","Pickpocket","When you play a Success or better to pickpocket someone, you get an extra asset.
Steal an item from a person without them noticing.","/stunts/base/pickpocket.png","2026-09-18"
"stunt:stagedAccident","en","stunt","stagedAccident","Staged Accident","+1 Effect when hurting someone indirectly.
Kill or knock-out someone indirectly.","/stunts/base/staged-accident.png","2026-09-18"
"stunt:hiddenArsenal","en","stunt","hiddenArsenal","Hidden Arsenal","Once per scene, reveal a hidden weapon to attack with +2 Effect.
Smuggle a weapon somewhere.","/stunts/base/hidden-arsenal.png","2026-09-18"
"stunt:rallyingCall","en","stunt","rallyingCall","Rallying Call","Play a Success to allow all allies that can hear you to discard a Complication or receive a Boost.
Boost an ally.","/stunts/base/rallying-call.png","2026-09-18"
"stunt:forager","en","stunt","forager","Forager","You get 2x the food when foraging.
Forage some food.","/stunts/base/forager.png","2026-09-18"
"stunt:tracker","en","stunt","tracker","Tracker","+1 Effect while tracking.
Find someone you are tracking.","/stunts/base/tracker.png","2026-09-18"
"stunt:camouflage","en","stunt","camouflage","Camouflage","Your camouflage always holds up unless inspected.
Camouflaging yourself from an enemy for 3 rounds.","/stunts/base/camouflage.png","2026-09-18"
"stunt:hunter","en","stunt","hunter","Hunter","Hitting an enemy without an Injury inflicts +1 Injury.
Knock-out or kill an enemy with one shot.","/stunts/base/hunter.png","2026-09-18"
"stunt:animalTrainer","en","stunt","animalTrainer","Animal Trainer","Play a Special Action to teach your pet a new trick.
Make an animal follow your command.","/stunts/base/animal-trainer.png","2026-09-18"
"stunt:trapper","en","stunt","trapper","Trapper","Your traps don't hurt you or your allies.
Make a trap and capture an enemy or an animal in it.","/stunts/base/trapper.png","2026-09-18"
"stunt:marksman","en","stunt","marksman","Marksman","You can shoot ranged weapons 1 zone further.
Hit a target 3 zones away.","/stunts/base/marksman.png","2026-09-18"
"stunt:weaponMaintenance","en","stunt","weaponMaintenance","Weapon Maintenance","Weapons never break or jam when you use them.
Repair a broken weapon.","/stunts/base/weapon-maintenance.png","2026-09-18"
"stunt:penetration","en","stunt","penetration","Penetration","You can apply extra ranged Injury left after defeating an enemy to another enemy in the same zone.
Hurt two enemies with one shot.","/stunts/base/penetration.png","2026-09-18"
"stunt:survivor","en","stunt","survivor","Survivor","You get +1 Effect when dealing with natural hazards.
Survive a natural hazard without consequences.","/stunts/base/survivor.png","2026-09-18"
"stunt:animalFriend","en","stunt","animalFriend","Animal Friend","+1 Effect when handling animals.
Calm down an aggressive animal.","/stunts/base/animal-friend.png","2026-09-18"
"stunt:strategist","en","stunt","strategist","Strategist","Your Outcome card hand limit is increased by 1.
Reach a +4 Effect on your action.","/stunts/base/strategist.png","2026-09-18"
"stunt:volatileMastery","en","stunt","volatileMastery","Volatile Mastery","You never hit yourself with your own explosives.
Blow something up.","/stunts/base/volatile-mastery.png","2026-09-18"
"stunt:linguist","en","stunt","linguist","Linguist","+1 Effect when decoding or translating. You can always recognize a language by text or speech.
Gain a clue by studying a text document.","/stunts/base/linguist.png","2026-09-18"
"stunt:historian","en","stunt","historian","Historian","You always know 1 useful fact about any historical site, artifact, or tradition relevant to your setting.
Recall or uncover a historical event.","/stunts/base/historian.png","2026-09-18"
